epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99066,1.89465,3.46479,1.79523,0.00532,0.35502,0.04741,0.02222,2.05314,3.56479,1.91393,6.25e-05,6.25e-05,6.25e-05
2,8.42537,1.65254,3.37897,1.6364,0.00681,0.45686,0.10576,0.05646,2.0419,3.38083,1.94566,0.000136139,0.000136139,0.000136139
3,10.9421,1.36109,2.96995,1.56651,0.00616,0.54454,0.18476,0.1004,2.03658,3.09275,1.93223,0.000208293,0.000208293,0.000208293
4,13.442,1.1028,2.37401,1.31158,0.5963,0.2719,0.25362,0.14962,2.17091,2.98077,2.04357,0.000278961,0.000278961,0.000278961
5,16.8513,0.97518,1.96864,1.18989,0.6619,0.19295,0.28075,0.17205,2.16277,2.77826,2.0249,0.000348145,0.000348145,0.000348145
6,19.751,0.86512,1.39387,1.14937,0.60082,0.31388,0.35229,0.20045,2.22844,2.67219,2.08245,0.000415844,0.000415844,0.000415844
7,22.2217,0.80757,1.18177,1.12594,0.65061,0.35159,0.35676,0.20363,2.27778,2.63677,2.13548,0.000482057,0.000482057,0.000482057
8,24.5937,0.81673,0.96241,1.11791,0.72683,0.37615,0.49101,0.28413,2.11425,2.50422,2.05925,0.000546786,0.000546786,0.000546786
9,27.027,0.77546,0.93396,1.10729,0.8234,0.47884,0.60355,0.38043,1.91557,2.31264,1.89427,0.00061003,0.00061003,0.00061003
10,29.9513,0.75201,0.82414,1.05829,0.82088,0.54742,0.70916,0.46398,1.63802,1.88597,1.68065,0.000671789,0.000671789,0.000671789
11,33.0183,0.68979,0.7564,1.03772,0.83629,0.66187,0.76051,0.52063,1.42384,1.59187,1.51371,0.000732063,0.000732063,0.000732063
12,35.4152,0.74281,0.77702,1.03856,0.90382,0.63081,0.7755,0.52875,1.36818,1.53246,1.46165,0.000790851,0.000790851,0.000790851
13,37.8886,0.74817,0.78191,1.1098,0.91585,0.68285,0.81539,0.57033,1.28208,1.34293,1.37543,0.000848155,0.000848155,0.000848155
14,40.3507,0.65114,0.67629,1.00005,0.9171,0.71485,0.84048,0.59732,1.15745,1.21321,1.27295,0.000903974,0.000903974,0.000903974
15,42.8028,0.69767,0.742,1.04644,0.90231,0.72134,0.85368,0.61591,1.10238,1.17753,1.24052,0.000958307,0.000958307,0.000958307
16,46.3094,0.68289,0.68427,0.97393,0.87263,0.72825,0.87345,0.63563,1.03715,1.15347,1.21725,0.00101116,0.00101116,0.00101116
17,48.8283,0.65175,0.63097,0.99574,0.88709,0.75885,0.87361,0.63845,0.98879,1.05991,1.17919,0.001052,0.001052,0.001052
18,51.2155,0.77266,0.81675,1.08097,0.90982,0.75332,0.8922,0.69158,0.91232,0.93612,1.12798,0.00103962,0.00103962,0.00103962
19,53.548,0.63623,0.60435,0.9929,0.89746,0.76679,0.87685,0.68327,0.90138,0.92102,1.11381,0.00102725,0.00102725,0.00102725
20,55.824,0.66018,0.60658,0.98263,0.87399,0.78981,0.85774,0.68369,0.86098,0.85314,1.09574,0.00101488,0.00101488,0.00101488
21,58.8653,0.62152,0.57502,0.94671,0.89116,0.81115,0.87501,0.69576,0.8469,0.79107,1.08451,0.0010025,0.0010025,0.0010025
22,61.8536,0.67692,0.60857,1.01041,0.90905,0.82003,0.9002,0.7023,0.86419,0.75885,1.08512,0.000990125,0.000990125,0.000990125
23,64.1686,0.56116,0.5399,0.95248,0.88641,0.84058,0.91247,0.70321,0.88012,0.75127,1.08691,0.00097775,0.00097775,0.00097775
24,66.5381,0.61356,0.55461,0.9505,0.90297,0.84548,0.90746,0.72061,0.86123,0.73955,1.06685,0.000965375,0.000965375,0.000965375
25,68.8432,0.58688,0.56277,0.96546,0.93038,0.80054,0.89804,0.71302,0.88362,0.75962,1.08495,0.000953,0.000953,0.000953
26,71.4784,0.54321,0.51565,0.9542,0.91426,0.84019,0.90724,0.72657,0.84408,0.74829,1.062,0.000940625,0.000940625,0.000940625
27,74.6817,0.5789,0.52981,0.95112,0.91589,0.85023,0.89984,0.72652,0.84039,0.72167,1.07291,0.00092825,0.00092825,0.00092825
28,76.9321,0.57451,0.53015,0.95772,0.93435,0.8313,0.89412,0.73222,0.81413,0.69396,1.05959,0.000915875,0.000915875,0.000915875
29,79.3639,0.59681,0.66332,1.04496,0.94265,0.83226,0.90943,0.73029,0.80039,0.67088,1.05121,0.0009035,0.0009035,0.0009035
30,81.6691,0.54701,0.49785,0.93363,0.94814,0.8704,0.91562,0.76279,0.77042,0.64593,1.03514,0.000891125,0.000891125,0.000891125
31,84.0452,0.54731,0.60797,0.94233,0.93527,0.88604,0.92955,0.75558,0.78094,0.62799,1.03816,0.00087875,0.00087875,0.00087875
