epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5635,1.61783,5.00797,1.62474,0.01495,0.14279,0.01157,0.0044,1.45852,4.19493,1.59439,6.25e-05,6.25e-05,6.25e-05
2,21.7693,1.19571,2.6305,1.34492,0.62507,0.72761,0.7753,0.56216,0.80886,2.19598,1.03641,0.000123888,0.000123888,0.000123888
3,24.3139,0.84906,1.39351,1.03497,0.799,0.85773,0.88995,0.68749,0.7875,1.43297,1.04683,0.000170425,0.000170425,0.000170425
4,27.8827,0.75165,1.02919,1.03759,0.93965,0.83109,0.9126,0.72237,0.72448,1.13153,0.99832,0.000202113,0.000202113,0.000202113
5,30.4471,0.71792,0.9489,0.99384,0.90141,0.85169,0.90577,0.72359,0.73495,0.98421,0.99791,0.00021895,0.00021895,0.00021895
6,32.7416,0.68865,0.79772,0.96172,0.90254,0.79784,0.89944,0.72365,0.68898,0.97374,0.95142,0.000220937,0.000220937,0.000220937
7,35.7091,0.65245,0.71332,0.95935,0.84321,0.87557,0.90693,0.73394,0.70114,0.83477,0.96711,0.000208075,0.000208075,0.000208075
8,37.9861,0.78198,0.77841,0.99583,0.80491,0.88642,0.89334,0.73146,0.6672,0.8099,0.92636,0.000180363,0.000180363,0.000180363
9,41.0173,0.69551,0.68519,0.98616,0.84031,0.86056,0.9164,0.74363,0.67096,0.75956,0.93292,0.0001378,0.0001378,0.0001378
10,43.8186,0.68387,0.67876,0.94751,0.89649,0.87478,0.92804,0.75943,0.66812,0.70722,0.93114,8.03875e-05,8.03875e-05,8.03875e-05
